code,name_sq,name_en,class,group,statement,normal_balance,subledger,default_vat_code,cit_deductibility,profile,status,note
661100,Borxhe të këqija,Bad Debt Expense,6,66,IS,D,PARTNER,NA,LIMIT,CORE,CHG,Strict ATK evidence; <EUR 500 easier
661200,Shpenzime të tjera,Other Expenses,6,66,IS,D,PARTNER,B18,FULL,CORE,KEEP,
661300,Gjoba dhe penalitete,Fines and Penalties,6,66,IS,D,PARTNER,NA,NON,CORE,NEW,*** Explicitly non-deductible
661400,Donacione dhe kontribute bamirësie,Donations and Charitable Contributions,6,66,IS,D,PARTNER,BEX,LIMIT,CORE,NEW,Up to 10% of taxable income - verify
661500,Humbje nga shitja e aktiveve,Loss on Sale of Assets,6,66,IS,D,ASSET,NA,FULL,CORE,NEW,
661600,Tatimi në pronë,Property Tax,6,66,IS,D,TAX,NA,FULL,CORE,NEW,
661700,Taksa komunale dhe tarifa,Municipal Fees and Charges,6,66,IS,D,PARTNER,BEX,FULL,CORE,NEW,
661900,Shpenzime të tjera të pazbritshme,Other Non-deductible Expenses,6,66,IS,D,PARTNER,NA,NON,CORE,NEW,Catch-all for CIT add-backs
700100,Të hyra nga interesi,Interest Income,7,70,IS,C,BANK,BEX,NA,CORE,CHG,
700200,Fitim nga këmbimi valutor,Foreign Exchange Gain,7,70,IS,C,-,NA,NA,CORE,KEEP,Realised vs unrealised - split if needed
700300,Të hyra nga dividendë,Dividend Income,7,70,IS,C,PARTNER,BEX,NA,CORE,CHG,Dividends exempt in Kosovo
710100,Shpenzim interesi,Interest Expense,7,71,IS,D,PARTNER,BEX,LIMIT,CORE,CHG,Thin-cap / related party limits - verify
710200,Humbje nga këmbimi valutor,Foreign Exchange Loss,7,71,IS,D,-,NA,FULL,CORE,KEEP,
710300,Shpenzime të tjera financiare,Other Financial Expenses,7,71,IS,D,PARTNER,BEX,FULL,CORE,KEEP,
710400,Interes i qirasë - IFRS 16,Lease Interest - IFRS 16,7,71,IS,D,PARTNER,NA,LIMIT,IFRS+,NEW,
720100,Tatimi në fitim (shpenzim),Corporate Income Tax Expense,7,72,IS,D,TAX,NA,NON,CORE,KEEP,Tax itself is non-deductible
720200,Tatimi i shtyrë (shpenzim/të hyre),Deferred Tax Expense / Income,7,72,IS,D,TAX,NA,NON,IFRS+,NEW,
